Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,region
BE,Bioenergy,620,Portugal,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,107,X,Figure from external organization,Europe
BE,Bioenergy,410,Republic of Korea,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,25632,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,642,Romania,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,17323,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,703,Slovakia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,5520,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,705,Slovenia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,3000,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,724,Spain,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,51531,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,752,Sweden,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,1546,X,Figure from external organization,Europe
BE,Bioenergy,756,Switzerland,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,1,X,Figure from external organization,Europe
BE,Bioenergy,764,Thailand,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,62560,X,Figure from external organization,Southeast Asia
BE,Bioenergy,792,Türkiye,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,3749,I,"Value 
imputed by a
receiving 
agency",Midde East
BE,Bioenergy,826,United Kingdom of Great Britain and Northern Ireland,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,58586,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,840,United States of America,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,345636,I,"Value 
imputed by a
receiving 
agency",Noth America
BE,Bioenergy,858,Uruguay,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,4,X,Figure from external organization,South America
BE,Bioenergy,859,Afghanistan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,860,Algeria,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,861,Angola,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,862,Antigua and Barbuda,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,863,Armenia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,864,Azerbaijan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,865,Bahamas,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,866,Bahrain,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,867,Bangladesh,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,868,Barbados,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,869,Belize,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central America
BE,Bioenergy,870,Benin,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,871,Bhutan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,872,Bolivia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,South America
BE,Bioenergy,873,Bosnia and Herzegovina,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Europe
BE,Bioenergy,874,Botswana,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,875,Brunei,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Southeast Asia
BE,Bioenergy,876,Burkina Faso,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,877,Burundi,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,878,Cabo Verde,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,879,Cambodia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Southeast Asia
BE,Bioenergy,880,Cameroon,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,881,Central African Republic,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,882,Chad,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,883,Chile,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,South America
BE,Bioenergy,884,Comoros,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,885,Congo,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,886,Democratic Republic of the Congo,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,887,Costa Rica,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central America
BE,Bioenergy,888,Cote d’Ivoire,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,889,Cuba,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,890,Djibouti,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,891,Dominica,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,892,Ecuador,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,South America
BE,Bioenergy,893,Egypt,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,894,El Salvador,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central America
BE,Bioenergy,895,Equatorial Guinea,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,896,Eritrea,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,897,Eswatini,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,898,Ethiopia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,899,Fiji,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Oceania
BE,Bioenergy,900,Gabon,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,901,Gambia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,902,Ghana,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
